"Activity_type" "Parameters" "Average of all test persons"
"WALKING" "tBodyAcc-mean-X" 0.277460913560964
"WALKING" "tBodyAcc-mean-Y" -0.0174365591162032
"WALKING" "tBodyAcc-mean-Z" -0.109616956789155
"WALKING" "tBodyAcc-std-X" -0.325007002873612
"WALKING" "tBodyAcc-std-Y" 0.054013970732718
"WALKING" "tBodyAcc-std-Z" -0.325344140032942
"WALKING" "tGravityAcc-mean-X" 0.940699026259903
"WALKING" "tGravityAcc-mean-Y" -0.208493353951585
"WALKING" "tGravityAcc-mean-Z" -0.0381461465621248
"WALKING" "tGravityAcc-std-X" -0.977829066203317
"WALKING" "tGravityAcc-std-Y" -0.965720175652723
"WALKING" "tGravityAcc-std-Z" -0.958179460721051
"WALKING" "tBodyAccJerk-mean-X" 0.0763387855598907
"WALKING" "tBodyAccJerk-mean-Y" 0.00489084572080408
"WALKING" "tBodyAccJerk-mean-Z" -0.00396039306400356
"WALKING" "tBodyAccJerk-std-X" -0.249657370872933
"WALKING" "tBodyAccJerk-std-Y" -0.0149293682517442
"WALKING" "tBodyAccJerk-std-Z" -0.511378700291049
"WALKING" "tBodyGyro-mean-X" -0.0251124984612648
"WALKING" "tBodyGyro-mean-Y" -0.0739171042612129
"WALKING" "tBodyGyro-mean-Z" 0.0762744340363897
"WALKING" "tBodyGyro-std-X" -0.468411705846703
"WALKING" "tBodyGyro-std-Y" -0.387708583766767
"WALKING" "tBodyGyro-std-Z" -0.392244383941039
"WALKING" "tBodyGyroJerk-mean-X" -0.102339104238946
"WALKING" "tBodyGyroJerk-mean-Y" -0.0411574092200887
"WALKING" "tBodyGyroJerk-mean-Z" -0.0508963168038507
"WALKING" "tBodyGyroJerk-std-X" -0.309158515405785
"WALKING" "tBodyGyroJerk-std-Y" -0.496892168588561
"WALKING" "tBodyGyroJerk-std-Z" -0.398497906548164
"WALKING" "tBodyAccMag-mean" -0.170678685235981
"WALKING" "tBodyAccMag-std" -0.315151968302406
"WALKING" "tGravityAccMag-mean" -0.170678685235981
"WALKING" "tGravityAccMag-std" -0.315151968302406
"WALKING" "tBodyAccJerkMag-mean" -0.226599294220756
"WALKING" "tBodyAccJerkMag-std" -0.157553958924961
"WALKING" "tBodyGyroMag-mean" -0.31474191436439
"WALKING" "tBodyGyroMag-std" -0.393679335812233
"WALKING" "tBodyGyroJerkMag-mean" -0.437378737737496
"WALKING" "tBodyGyroJerkMag-std" -0.454105802462776
"WALKING" "fBodyAcc-mean-X" -0.294791284614391
"WALKING" "fBodyAcc-mean-Y" 0.0300217274881223
"WALKING" "fBodyAcc-mean-Z" -0.377196082199179
"WALKING" "fBodyAcc-std-X" -0.339558078288283
"WALKING" "fBodyAcc-std-Y" -0.00169806608557032
"WALKING" "fBodyAcc-std-Z" -0.351345098815619
"WALKING" "fBodyAccJerk-mean-X" -0.291194047082928
